compId,name
2,FORM.getFormValue
5,SERVER.getList
6,MSG.alert
8,ApdsManage_ChartStatistics_aircraftPropertyResult.onReady
9,ApdsManage_ChartStatistics_aircraftPropertyResult.airCraftPropertyResultDay
10,ApdsManage_ChartStatistics_aircraftPropertyResult.airCraftPropertyResultYear
11,DIALOG.show
12,DIALOG.getParameter
13,FORM.setFormValue
14,ApdsManage_ChartStatistics_aircraftPropertyResult.dayDetailQuery
15,ApdsManage_ChartStatistics_aircraftPropertyResult.monthDetailQuery
16,ApdsManage_ChartStatistics_aircraftPropertyResult.yearDetailQuery
17,GRID.reload
18,GRID.getCurrentRowData
19,FILE.fileDownload
21,GRID.reloadWithData
22,TOPBAR.refresh
23,FORM.setDisabled
24,FORM.reset
25,STRINGUTIL.uuid
26,SERVER.getMap
27,MSG.confirm
28,Common_Common_CommonUtils.saveMultiBean
29,MSG.tip
30,TOPBAR.cancel
31,FORM.setFormValues
32,FORM.valid
33,FORM.getFormDataMapping
34,Common_Common_CommonUtils.saveFormData
35,STRINGUTIL.autoid20
36,JSONUTIL.put
37,FILE.fileUpload
38,SERVER.call
39,BASE.convertMapToJson
40,DIALOG.close
41,ApdsManage_SurveyReport_SurveyReport.beforeAddOnready
42,EDITGRID.getModifiedData
43,EDITGRID.isValid
44,Common_Common_CommonUtils.saveEditorGrid
45,GRID.gridtoExcel
46,Common_Common_CommonUtils.assembleDynamicPara
47,Common_Common_CommonUtils.dynamicInvokedSimple
48,EDITGRID.addRowAfter
49,EDITGRID.removeRow
50,COMBO.reload
51,MSG.showJson
52,ApdsManage_SurveyReport_SurveyReportProperty.beforeAddOnready
53,ApdsManage_SurveyTemplate_SurveyTemplateAdmin.beforeAddOnready
54,MSG.error
56,MSG.loading
57,MSG.endLoading
60,GRID.getCurrentRowsData
61,window.open
62,GRID.getCurrentRowIndex
63,GRID.getDatas
64,BASE.convertJsonToMap
66,TOPBAR.setTopButtonDisabled
67,SERVER.getMapWithParam
68,JSONUTIL.get
74,GRID.insertRow
75,GRID.removeSelectedRow
76,GRID.queryLoadWithForm
77,Common_CommonUser_showUserLogic.gridRowMove
78,Common_CommonUser_showUserLogic.thisRowMove
79,GRID.getRowData
80,GRID.removeRow
81,window.close
82,Common_CommonWebOffices_ntko_ntko.showModelDialog
83,window.alert
84,Common_CommonWebOffices_ntko_ntko.showNTKO
86,TREE.reload
87,TREE.getCurrentNode
88,DAO.del
89,TREE.getNodeDatas
90,TREE.getCurrentNodeData
91,DAO.save
92,JSONUTIL.convertToString
93,TREE.getNodeData
94,DAO.insert
95,DAO.update
96,GRID.getCurrentRowCellData
97,GRID.getSelections
98,SysMan_UserMan_ModifyPwd.checkPwd
99,TREE.getCheckedDatas
100,URL.getParameter
101,ARRAYUTIL.push
102,ARRAYUTIL.join
105,GBDCommon_Common_CommonUtils.assembleDynamicPara
106,GBDCommon_Common_CommonUtils.dynamicInvokedSimple
107,ProjectReport_ProjectWeekly_projectMaintain.onready
108,FORM.setFieldDisabled
109,ProjectReport_ProjectWeekly_resultsManage.onready
110,ProjectReport_ProjectWeekly_resultsManage.addBefore
111,ChartStatistics_BabyBirthStatiticsCount_BABYBIRTHSTATITICSPROVINCE.getValue
112,ChartStatistics_BabyBirthStatiticsCount_BABYBIRTHSTATITICSCITY.pageOnReady
113,ChartStatistics_BabyBirthStatiticsCount_BABYBIRTHSTATITICSCITY.statistics
114,ChartStatistics_BirthBabyStatistics_BIRTHDEFECTHAPPENEDCHARTALLPROVINCE.getValue
115,ChartStatistics_BirthBabyStatistics_BIRTHDEFECTHAPPENDCHARTALLCITY.statistics
116,ChartStatistics_BirthBabyStatistics_BIRTHDEFECTHAPPENEDCHARTALLCOUNTRY.statistics
117,ChartStatistics_BirthHospitalReport_BIRTHHOSPITALREPORTPROVINCE.getValue
118,ChartStatistics_BirthHospitalReport_BIRTHHOSPITALREPORTCITY.statistics
119,FORM.getComboText
120,ChartStatistics_Common_Common.statistics
121,ChartStatistics_Common_Common.getValue
122,ChartStatistics_LevelCollect_LEVELCOLLECTPROVINCE.statistics
123,CHART.reload
124,ChartStatistics_MonitorperiodLapseCount_COMMOM.getValue
125,ChartStatistics_MonitorperiodLapseCount_COMMOM.statistics
126,GRID.blurQuery
129,JSONUTIL.apply
130,TREE.getCheckedNodes
131,SysMan_UserMan_selectEmpOrg.confirm
132,SysMan_UserMan_selectEmpRole.confirm
133,FORM.setRadioValue
134,FORM.getRadioValue
135,window.confirm
137,BUCM_AboutGalleryMgr_IncumbentLeader_CurLeaderManager.setTopButtonDisable
138,BUCM_Commom_Comment.showComment
140,Common_CommonBack_CommBack.commBack
141,BUCM_AboutGalleryMgr_IncumbentLeader_CurLeaderManager.setTopButtonCancel
142,BUCM_Commom_CommonAudit.audit
143,BUCM_Commom_ViewWeb.ViewWeb
147,STRINGUTIL.substring
148,Common_CommonFileUpload_fileUpload.downLoadFiles
149,Common_CommonFileUpload_fileUpload.setFileUploadValue
150,Common_CommonFileUpload_fileUpload.saveFiles
151,STRINGUTIL.substr
152,TREE.getCurrentNodeDatas
157,Common_CommonFileUpload_fileUpload.resetFileUpload
158,Common_CommonImport_commonImport.importData
168,BUCM_VisitGuideMgr_PrecontactService_PercontactServiceEdit.cancel
174,GRID.getCurrentRowsIndex
175,GRID.getCurrentRowsCellData
176,SysMan_OrgMan_organization.setcity
177,GRID.removeAllRow
178,LabMNG_LabMNG_common.commonDel
179,LabMNG_LabMNG_common.commonSave
180,WPSUI.startProcess
182,insert
183,update
187,EDITGRID.getModifiedRowForSave
189,common_common_CommonUtils.saveFormData
197,madeData
202,GRID.selectRow
203,EDITGRID.getModifiedRowData
205,common_common_CommonUtils.saveMultiBean
206,common_common_CommonUtils.saveEditorGrid
214,FORM.setFieldVisible
215,FORM.getFormDataMappingForQuery
216,GRID.queryLoad
217,CDKQ_basicMsg_thesisUpload.add
218,CDKQ_basicMsg_thesisUpload.update
229,CECE_BasicEvaluate_Evaluate.getState
239,FORM.getCheckboxText
241,TOPBAR.setTopButtonText
251,CECE_BasicEvaluate_Evaluate.queryEvaluate
253,Common_CommonFileUpload_fileUpload.saveFile
254,CECE_BasicEvaluate_IndexEvaluate.onLoad
256,CECE_BasicEvaluate_PublishEvaluate.queryEvaluate
258,CECE_BasicEvaluate_SecondIndex.onSelect
260,GRID.setRowButtonCSS
266,EDITTREE.getCheckedNodesData
267,FORM.getDataMapping
270,CommonQuery_CommonQuery_QueryBusinessType.showBusinessType
271,CompanyManager_Common_QueryCompanyType.showCompanyType
272,CommonQuery_CommonQuery_IndexEvaluate.onSelect
273,CommonQuery_CommonQuery_SecondIndex.onSelect
276,CompanyManager_Common_QueryBusinessType.showBusinessType
279,EIAIndex_EIAIndexMaintain_EIAIndex.query
282,Common_Common_CommonUtils.saveFormDataAndEditGrid
284,EIAIndex_MethodMaintain_IndexMethod.indexChange
289,IntegrateManager_IntegrateQuery_CompanyEvaluate.loadData
290,EDITGRID.addRowBefore
291,EDITGRID.removeAll
292,Common_Tools_Form.getDatasAsJsonArray
299,GBDCommon_Common_CommonUtils.saveMultiBean
300,GBDCommon_Common_CommBack.commBack
301,Application_Security_target_EnterpriceValueManage.selectWeeks
302,Common_Tools_Form.setDatasFromJsonArray
303,Common_Tools_JsonArray.getAttribute
304,Common_Tools_Grid.setDatasFromJsonArray
305,Common_Tools_JsonArray.addAttribute
306,GBDCommon_Common_CommonUtils.saveFormData
